traits	species
B1500	ranunculus
B1988	sp.Xingu
P4647	nicoi
P6125	schomburgkii
T08143	leucostictus
T09282	anthrax
T09376	tigris
T09397	macrophthalmus
T09512	dumus
T09686	tentaculatus
T09895	kelsorum
T09934	anthrax
T10092	megalostomus
T10093	megalostomus
T10383	sp.Inambari
T12872	bolivianus
T13829	clementinae
V055	anthrax
V5533	stearleyi
B1470	schomburgkii
B1471	schomburgkii
B1499	ranunculus
B2049	sp.Xingu
P6123	schomburgkii
T07157	tigris
T09399	anthrax
T09471	macrophthalmus
T09536	dumus
T09687	tentaculatus
T09898	kelsorum
T10364	sp.Inambari
T12871	bolivianus
T13826	clementinae
T13832	clementinae
V5293	tigris
14422	n.sp.
14482	n.sp.
14483	n.sp.
14484	n.sp.
14485	n.sp.
P161	n.sp.
P162	n.sp.
P18038	nicoi
P18043	nicoi
P18073	nicoi
T027	nicoi
T078	nicoi
T09841	anthrax
T09842	anthrax
T09870	tigris
T09938	tigris
T09949	dumus
T09951	dumus
T148	nicoi
T149	nicoi
T151	nicoi
T152	nicoi
T153	nicoi
